_id,id,pubDate,title,summary,infoSource
5e77937315a92028e443c2e5,12786,2020/3/23,Emirates Group suspends passenger flights and cuts staff salaries amid coronavirus outbreak,"Emirates Group is temporarily suspending passenger flights — maintaining just its cargo operations — because of?coronavirus.The Dubai-based airline plans to halt passenger services as of March 25, it ",CNN
5e7791a915a92028e443c2e4,12781,2020/3/23,Nearly 1 in 10 of Italy's infected are healthcare workers,"A total of 4,826 healthcare workers in?Italy?have been infected by the novel coronavirus, according to the latest information Sunday from?Italy’s National Health Institute (ISS).?That means some 9% of those infected nationwide by Covid-19 are healthcare workers.",CNN
5e77916715a92028e443c2e3,12781,2020/3/23,Nearly 1 in 10 of Italy's infected are healthcare workers,"A total of 4,826 healthcare workers in?Italy?have been infected by the novel coronavirus, according to the latest information Sunday from?Italy’s National Health Institute (ISS).?That means some 9% of",CNN
5e77912015a92028e443c2e2,12782,2020/3/23,"Fauci says ""there isn't, fundamentally, a difference"" between his view and Trump's on coronavirus","Dr Anthony Fauci, the nation's top infectious disease expert,?said?there is a problem with people trying to separate himself and President Trump when it comes to their approaches to the coronavirus crisis, but that “there isn’t, fundamentally, a difference there.",CNN
5e7790df15a92028e443c2e1,12782,2020/3/23,"Fauci says ""there isn't, fundamentally, a difference"" between his view and Trump's on coronavirus","Dr Anthony Fauci, the nation's top infectious disease expert,?said?there is a problem with people trying to separate himself and President Trump when it comes to their approaches to the coronavirus cr",CNN
5e778e4f15a92028e443c2dd,12777,2020/3/23,Coronavirus: 'Life should not feel normal',First Minister Nicola Sturgeon urged the public to follow the government's Covid-19 advice and help save lives.,BBC
5e778dcc15a92028e443c2dc,12777,2020/3/23,Coronavirus: 'Life should not feel normal',First Minister Nicola Sturgeon urged the public to follow the government's Covid-19 advice and help save lives.,BBC
5e778cc715a92028e443c2db,12773,2020/3/22,Tears as NHS staff given flowers at supermarkets,Stores open early for medical staff after shift workers said they were struggling to buy supplies.,BBC
5e778afb15a92028e443c2da,12773,2020/3/22,Tears as NHS staff given flowers at supermarkets,Stores open early for medical staff after shift workers said they were struggling to buy supplies.,BBC
5e7788ee15a92028e443c2d6,12771,2020/3/22,"Trump says Ford, General Motors and Tesla given ""go ahead"" to make ventilators","President Trump says Ford, General Motors and Tesla were given a “go ahead” to make ventilators and other metal products “FAST.”",CNN
5e7788ad15a92028e443c2d5,12771,2020/3/22,"Trump says Ford, General Motors and Tesla given ""go ahead"" to make ventilators","President Trump says Ford, General Motors and Tesla were given a “go ahead” to make ventilators and other metal products “FAST,” according to a tweet?he sent Sunday.“Go for it auto execs, lets see how",CNN
5e77851615a92028e443c2d0,12766,2020/3/22,"NY governor: ""New York received no funding from the first federal coronavirus bill""","Gov. Andrew Cuomo said Sunday that New York received no funding from the first coronavirus despite it ""having the greatest need.",CNN
5e7784d515a92028e443c2cf,12763,2020/3/22,WATCH AGAIN: Latest Coronavirus briefing,"Statement by First Minister Nicola Sturgeon, Health Secretary Jeane Freeman and Chief Medical Officer Dr Catherine Calderwood.",BBC
5e7784d515a92028e443c2ce,12766,2020/3/22,"NY governor: ""New York received no funding from the first federal coronavirus bill""","Gov. Andrew Cuomo said Sunday that New York received no funding from the first coronavirus despite it ""having the greatest need.""Hospital beds and medical supplies continue to be an issue for the stat",CNN
5e77824115a92028e443c2ca,12761,2020/3/22,Sport England boss - We must stay active,"Sport England chief executive Tim Hollingsworth says it is now ""more important than ever"" to stay active, while following the government's guidance on social distancing.",BBC
5e7780fb15a92028e443c2c7,12757,2020/3/22,"Nashville mayor issues ""safer at home"" order","Nashville Mayor John Cooper issued at 14-day ""safer at home"" order Sunday.",CNN
5e777c5e15a92028e443c2ad,12749,2020/3/22,Coronavirus: What are social distancing and self-isolation?,"Pubs and cafes have closed, as everybody in the UK is asked to stop non-essential contact.",BBC
5e777c1c15a92028e443c2ac,12749,2020/3/22,Coronavirus: What are social distancing and self-isolation?,"Pubs and cafes have closed, as everybody in the UK is asked to stop non-essential contact.",BBC
5e777c1c15a92028e443c2ab,12750,2020/3/22,New laws will 'allow social distance enforcement',Arlene Foster says laws being passed on Monday will help enforce public health advice.,BBC
5e777bdb15a92028e443c2aa,12748,2020/3/22,Parks closing as areas urge tourists to stay away,"Authorities at parks, beaches and beauty spots urge tourists to stay away during the Covid-19 outbreak.",BBC
5e777bdb15a92028e443c2a9,12750,2020/3/22,New laws will 'allow social distance enforcement',Arlene Foster says laws being passed on Monday will help enforce public health advice.,BBC
5e777a1115a92028e443c2a8,12747,2020/3/22,"NYC mayor: ""We're about 10 days away now from seeing widespread shortages"" of supplies",Mayor Bill de Blasio described a dire situation in New York City this morning on CNN as hospital supplies needed to fight the coronavirus pandemic run low.,CNN
